Average Weekday Bus Ridership,,,,,,,,,,,,
Route,Notes,,2015,2016,2017,2018,2019,2020,,2019-2020 Change,,2020 Rank
Queens Local,,,"704,837","708,707","690,587","674,553","666,070","361,283",,"-304,787",-45.8%,
Staten Is Local,,,"95,787","94,535","91,064","83,949","82,987","48,767",,"-34,220",-41.2%,
Local System Adj,,,"4,002","4,144","4,445","6,360",,,,,,
Local Total,,,"2,401,064","2,371,367","2,248,347","2,134,462","2,089,823","1,158,823",,"-931,000",-44.5%,
,,,,,,,,,,,,
Brooklyn Exp,,,"9,563","9,513","9,268","9,184","9,071","3,635",,"-5,436",-59.9%,
Bronx Exp,,,"12,659","12,428","11,941","12,341","11,571","6,152",,"-5,419",-46.8%,
Manhattan Exp,,,,,,,,,,,,
Queens Exp,,,"14,964","14,467","14,356","15,148","13,863","5,485",,"-8,378",-60.4%,
Staten Is Exp,,,"33,210","33,507","32,896","32,515","32,909","12,840",,"-20,069",-61.0%,
Exp Special/Adj,,,90,108,75,121,11,,,,,
Express Total,,,"70,486","70,023","68,536","69,309","67,425","28,112",,"-39,313",-58.3%,
,,,,,,,,,,,,
Brooklyn Total,,,"638,796","636,360","603,955","565,105","552,492","313,963",,"-238,529",-43.2%,
Bronx Total,,,"555,158","539,083","499,430","452,559","427,752","265,036",,"-162,716",-38.0%,
Manhattan Total,,,"424,707","410,479","380,075","373,460","381,165","179,561",,"-201,604",-52.9%,
Queens Total,,,"719,801","723,174","704,944","689,702","679,933","366,768",,"-313,165",-46.1%,
Staten Is Total,,,"128,997","128,042","123,960","116,464","115,896","61,607",,"-54,289",-46.8%,
Local/Exp Adjustments,,,"4,092","4,252","4,520","6,481",11,,,,,
Addtl Adjustments,,,"4,813","3,930","3,339",451,"1,221",481,,,,
Grand Total,,,"2,476,364","2,445,320","2,320,222","2,204,222","2,158,469","1,187,416",,"-971,053",-45.0%,
,,,,,,,,,,,,
"1-12,A-D: Bus routes that were changed between 2015 and 2020; see ""Notes"" for details.",,,,,,,,,,,,
# MTA Bus Company route.,,,,,,,,,,,,
